epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.96496,3.41335,8.45375,2.0083,0,0,0,0,3.36531,7.50807,2.33004,0.00014,0.00014,0.00014
2,3.21085,2.78162,6.63508,1.56716,0.00238,0.83333,0.00392,0.001,2.26066,5.58746,1.50828,0.00029406,0.00029406,0.00029406
3,4.43443,2.10804,4.59642,1.29152,0.00286,1,0.0052,0.00211,1.69439,4.67427,1.17262,0.000441784,0.000441784,0.000441784
4,5.6695,2.07093,4.92515,1.29979,0.00167,0.58333,0.00231,0.00104,1.62819,4.67516,1.12538,0.000583172,0.000583172,0.000583172
5,6.94444,1.87553,3.97968,1.29328,0.0019,0.66667,0.00186,0.00051,1.7047,4.74556,1.12552,0.000718224,0.000718224,0.000718224
6,8.17032,2.11767,3.15636,1.22003,0.00214,0.75,0.00306,0.00158,1.67119,4.50395,1.1047,0.00084694,0.00084694,0.00084694
7,9.38398,1.94684,3.23534,1.19416,0.0019,0.66667,0.00228,0.0009,1.8281,4.69069,1.17063,0.00096932,0.00096932,0.00096932
8,10.5945,1.81853,3.10704,1.23208,0.00214,0.75,0.00196,0.00073,1.84481,4.59167,1.12837,0.00108536,0.00108536,0.00108536
9,11.8353,1.81812,2.95511,1.16622,0.00143,0.5,0.00115,0.00057,1.71472,4.34577,1.12689,0.00119507,0.00119507,0.00119507
10,13.0344,1.73035,3.01571,1.16891,0.00143,0.5,0.09342,0.06222,1.58156,4.29842,1.11612,0.00129844,0.00129844,0.00129844
11,14.2645,1.82229,2.62172,1.18981,0.00238,0.83333,0.00487,0.0027,1.6325,5.51109,1.09974,0.00139548,0.00139548,0.00139548
12,15.4592,1.90083,2.42204,1.11583,0.00328,0.83333,0.00746,0.00492,1.62418,20.9046,1.13847,0.00148618,0.00148618,0.00148618
13,16.6734,1.71235,2.59709,1.19874,0.00143,0.5,0.00148,0.00097,1.77779,4.37955,1.20053,0.0015248,0.0015248,0.0015248
14,17.9038,1.77276,2.66987,1.17743,1,0.42118,0.65803,0.41594,1.74769,3.17361,1.17966,0.0014852,0.0014852,0.0014852
15,19.14,1.69688,2.33489,1.1428,1,0.41273,0.66579,0.37265,1.76102,2.97145,1.16398,0.0014456,0.0014456,0.0014456
16,20.3541,1.73334,2.3638,1.11388,0.03314,0.33333,0.03162,0.01649,1.72985,6.5193,1.15057,0.001406,0.001406,0.001406
17,21.5721,1.60936,2.36868,1.09118,0.94568,0.58333,0.69728,0.35909,1.75968,2.40603,1.15619,0.0013664,0.0013664,0.0013664
18,22.9027,1.60718,2.21297,1.06477,1,0.71997,0.75051,0.41409,1.72584,2.03194,1.15546,0.0013268,0.0013268,0.0013268
19,24.1605,1.66018,2.28738,1.09231,0.55767,0.75,0.56581,0.32272,1.65002,2.20631,1.12577,0.0012872,0.0012872,0.0012872
20,25.4019,1.63774,2.06343,1.09197,0.24606,0.58333,0.18766,0.10431,1.59533,3.21767,1.11924,0.0012476,0.0012476,0.0012476
21,26.6512,1.62581,2.02342,1.10311,0.8986,0.75,0.79641,0.38569,1.6919,1.97967,1.13541,0.001208,0.001208,0.001208
22,27.8678,1.75865,2.1157,1.12679,0.81697,0.74446,0.82918,0.37618,1.84536,2.17474,1.1613,0.0011684,0.0011684,0.0011684
23,29.1196,1.68142,2.07865,1.11532,0.77209,0.56628,0.73024,0.35692,1.76061,2.2568,1.12473,0.0011288,0.0011288,0.0011288
24,30.3366,1.59835,2.06488,1.12345,0.83892,0.58333,0.73336,0.35456,1.55812,1.99116,1.10516,0.0010892,0.0010892,0.0010892
25,31.6029,1.4751,1.81445,1.08362,0.9038,0.83333,0.86784,0.46194,1.57048,1.56694,1.09431,0.0010496,0.0010496,0.0010496
26,32.8573,1.51752,1.93503,1.09288,0.89699,0.83333,0.88725,0.4954,1.57366,1.43751,1.09308,0.00101,0.00101,0.00101
